waste_id,waste_date,organization_id,product_id,batch_id,location_id,quantity_wasted,unit,waste_reason,unit_cost
71afd199-9307-40ed-ac09-4e0a3e09d9d6,2026-08-25,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,103.59,L,SPOILED,42.0
a88d302f-9c8c-434c-a7d1-98579d48bb5f,2026-08-27,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,171.73,L,EXPIRED,42.0
091d5be9-d100-4c95-913f-f66f8d2ee238,2026-08-28,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,755.14,L,EXPIRED,42.0
99f31079-cb92-4d33-bb8f-81bce94f7114,2026-08-29,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,472.68,L,EXPIRED,42.0
db3d2c1a-6a5b-49b6-8fa8-4ed4b22bea77,2026-08-30,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,195.32,L,EXPIRED,42.0
42a61bf3-6c36-46f8-872e-649771bdd0c5,2026-08-31,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,650.49,L,EXPIRED,42.0
bb930a42-9d3d-4d48-aa31-d60dfd235ad4,2026-09-01,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,750.11,L,EXPIRED,42.0
90f4f3ff-d08d-4e2c-90e8-98edec4fab9f,2026-09-02,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,500.48,L,EXPIRED,42.0
72f7d181-40be-4f18-9936-3db23183d0af,2026-09-03,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,150.39,L,EXPIRED,42.0
4bd98e16-4308-47e3-9636-b193c86cf35a,2026-09-04,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,529.11,L,EXPIRED,42.0
a79be7b0-c1b5-4339-b2e1-0043ca12bf65,2026-09-05,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,359.5,L,EXPIRED,42.0
8b910080-386b-49c8-8ebf-2bcf4f2d7de5,2026-09-06,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,735.71,L,EXPIRED,42.0
7f95556c-d707-47b5-bee2-387b7a1a6cfa,2026-09-07,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,86c9d449-3f66-41d2-bfdb-d40385eca579,96b28d33-5a6e-489e-b9fa-fa38dfac0ba0,f88afad5-3d69-4d7f-8a1b-095720bc60a3,417.94,L,EXPIRED,42.0
d4620b86-0249-4c37-9df9-ffe047b22542,2026-08-05,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,37.65,kg,SPOILED,35.0
b7866dea-808f-43e3-8dd7-c614acfe7baf,2026-08-07,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,60.74,kg,SPOILED,35.0
a419cb5f-2264-4630-987f-69a81e275b64,2026-08-08,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,183.72,kg,EXPIRED,35.0
ddf86f7c-f094-441f-a62b-35f99eac3e99,2026-08-09,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,144.95,kg,EXPIRED,35.0
bb415c92-86bc-4b51-aefc-1f2706ed64c3,2026-08-10,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,428.91,kg,EXPIRED,35.0
7c0579f3-0b97-4bc5-bea8-07e39aae7b86,2026-08-11,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,374.78,kg,EXPIRED,35.0
eee9cf77-a937-4775-920a-50ac5f7a5fa5,2026-08-12,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,367.34,kg,EXPIRED,35.0
a0542535-792b-4a8c-8925-c82a09d1185f,2026-08-13,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,306.33,kg,EXPIRED,35.0
6ec35ba7-c6bc-417b-8eb6-978193cc361f,2026-08-14,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,265.28,kg,EXPIRED,35.0
485229a9-c3d6-4abc-a02d-9de150dfaf8c,2026-08-15,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,239.49,kg,EXPIRED,35.0
5bcc9a00-dc6c-4ed0-b79f-3b29b1fd603a,2026-08-16,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,390.55,kg,EXPIRED,35.0
cba3d26e-4c1a-4111-b5d4-8fa01e27b16d,2026-08-17,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,242.88,kg,EXPIRED,35.0
761d365f-1ae0-4801-9f7d-70ca9cb8f7e2,2026-08-18,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,330.19,kg,EXPIRED,35.0
e7b52cc9-bb39-4f61-95aa-dee30a2fe592,2026-08-19,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,242.7,kg,EXPIRED,35.0
c5e3ef70-b15a-4f72-8482-b814a4e71ff8,2026-08-20,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,323.91,kg,EXPIRED,35.0
f01bc98b-def8-4817-a0d1-579d3e97b35f,2026-08-21,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,292.08,kg,EXPIRED,35.0
30a03fd7-def5-4e1f-b333-14a648f1342b,2026-08-22,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,242.92,kg,EXPIRED,35.0
f5bb9fca-8ede-431f-bee8-9021cba1f06c,2026-08-23,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,243.98,kg,EXPIRED,35.0
5dbc5193-672b-41be-aa9f-7a59d193386f,2026-08-24,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,180.59,kg,EXPIRED,35.0
d0919ae8-b1ee-407a-ad5a-fb74cef9ca6e,2026-08-25,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,174.08,kg,EXPIRED,35.0
407a2834-951c-4244-8b5d-e6511a14782f,2026-08-26,de2aa412-e109-4bcf-b6e9-9d9ad0b05e22,89414700-a29c-442e-84b4-bd0e350e2a09,cb9f5c0b-1572-402e-8cb6-1261674358e6,19375bde-4d5a-47e5-bc1f-92c3473be236,198.55,kg,EXPIRED,35.0
