date,organization_id,product_id,location_id,product_name,category,unit,opening_stock,purchase_quantity,sales_quantity,waste_quantity,donation_quantity,closing_stock,stockout_flag,days_to_expiry,unit_cost,promotion_flag,is_weekend,is_holiday
08-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,12.5,25.63,6,0,0.07,32.06,FALSE,377,80,FALSE,FALSE,FALSE
09-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,32.06,0,5,0,0,27.06,FALSE,376,80,FALSE,FALSE,FALSE
10-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,27.06,0,6,0,0,21.06,FALSE,375,80,FALSE,FALSE,FALSE
11-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,21.06,0,7,0,0,14.06,FALSE,374,80,FALSE,FALSE,FALSE
12-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,14.06,30.47,6,0,0.58,37.95,FALSE,373,80,TRUE,FALSE,FALSE
13-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,37.95,0,8,0,0,29.95,FALSE,372,80,TRUE,TRUE,FALSE
14-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,29.95,0,9,0,0,20.95,FALSE,371,80,FALSE,TRUE,FALSE
15-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,20.95,0,6,0,0,14.95,FALSE,370,80,FALSE,FALSE,FALSE
16-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,14.95,25.16,5,0,0.31,34.8,FALSE,369,80,FALSE,FALSE,FALSE
17-09-25,4303b39e-474b-4805-8d74-0ef96edd0b2f,f2c23359-e6fb-4d50-ba94-d24146bd6e00,f6c42a41-eae5-4023-8f36-18ff8fc5c68f,Verified Rice,Grains,kg,34.8,0,6,0,0,28.8,FALSE,368,80,FALSE,FALSE,FALSE
